wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4019.92370762
1000.0        4019.92370762
1500.0        4019.92370762
2000.0        4019.92370762
2500.0        4019.92370762
3000.0        4019.92370762
3500.0        4019.92370762
4000.0        4019.92370762
4500.0        4019.92370762
5000.0        4203.29931364
5500.0        4628.65793003
6000.0        4905.88495611
6500.0        5330.24596822
7000.0        6174.64910426
7500.0        7029.94907441
8000.0        7741.86372552
8500.0        8153.28418675
9000.0        8638.06839065
9500.0        9103.28577238
10000.0        10004.1457803
10500.0        10723.4489144
11000.0        11199.2435332
11500.0        11503.0031474
12000.0        11884.6380735
12500.0        12041.0014476
13000.0        12129.1450097
13500.0        12203.2986538
14000.0        12222.7566718
14500.0        12222.7566718
15000.0        12222.7566718
15500.0        12222.7566718
16000.0        12222.7566718
16500.0        12222.7566718
17000.0        12222.7566718
17500.0        12222.7566718
18000.0        12222.7566718
18500.0        12222.7566718
19000.0        12222.7566718
19500.0        12222.7566718
20000.0        12222.7566718
