wsi_di_SWP
wsi                   di
0.0        0.0
500.0        784.033765173
1000.0        784.033765173
1500.0        784.033765173
2000.0        937.580139534
2500.0        1371.16536662
3000.0        2151.70154662
3500.0        2842.07028795
4000.0        3649.93265386
4500.0        4501.84354962
5000.0        5167.29799077
5500.0        6311.13022554
6000.0        7122.69160346
6500.0        7783.83333889
7000.0        7850.13913162
7500.0        8112.70447896
8000.0        8112.70447896
8500.0        8112.70447896
9000.0        8112.70447896
9500.0        8112.70447896
10000.0        8112.70447896
10500.0        8112.70447896
11000.0        8112.70447896
11500.0        8112.70447896
12000.0        8112.70447896
12500.0        8112.70447896
13000.0        8112.70447896
13500.0        8112.70447896
14000.0        8112.70447896
14500.0        8112.70447896
15000.0        8112.70447896
15500.0        8112.70447896
16000.0        8112.70447896
16500.0        8112.70447896
17000.0        8112.70447896
17500.0        8112.70447896
18000.0        8112.70447896
18500.0        8112.70447896
19000.0        8112.70447896
19500.0        8112.70447896
20000.0        8112.70447896
