wsi_di_CVP_SYS
wsi                   di
0.0        0.0
500.0        4064.82484046
1000.0        4064.82484046
1500.0        4064.82484046
2000.0        4064.82484046
2500.0        4064.82484046
3000.0        4064.82484046
3500.0        4064.82484046
4000.0        4064.82484046
4500.0        4064.82484046
5000.0        4226.16607088
5500.0        4638.92455511
6000.0        4905.3219419
6500.0        5315.78082014
7000.0        6190.09572475
7500.0        7054.19001557
8000.0        7744.63653886
8500.0        8094.54033623
9000.0        8621.75774031
9500.0        9106.06688415
10000.0        9998.02553257
10500.0        10706.2022563
11000.0        11176.6279046
11500.0        11518.1795726
12000.0        11888.5376271
12500.0        12041.275414
13000.0        12129.1893535
13500.0        12203.4675392
14000.0        12223.0817952
14500.0        12223.0817952
15000.0        12223.0817952
15500.0        12223.0817952
16000.0        12223.0817952
16500.0        12223.0817952
17000.0        12223.0817952
17500.0        12223.0817952
18000.0        12223.0817952
18500.0        12223.0817952
19000.0        12223.0817952
19500.0        12223.0817952
20000.0        12223.0817952
